session_id,player_id,session_start,session_minutes,matches_played,wins,kills,disconnect_flag,server_region,platform_reported,clean_session_minutes,clean_matches_played,clean_wins,clean_kills,clean_session_start
S000782,P00317,02/21/2026,48m,4,2,19,No,EU-Central,PC,48.00,4,2,19,"2026-02-21 00:00:00"
S000783,P00317,03/18/2026,33,2,1,13,No,EU-Central,Mobile,33.00,2,1,13,"2026-03-18 00:00:00"
S000784,P00317,2026-03-21T11:46:46Z,48,3,1,17,Yes,NA-West,PlayStation,48.00,3,1,17,"2026-03-21 11:46:46"
S000785,P00317,2026-03-21T11:46:46Z,48,3,1,17,Yes,NA-West,PlayStation,48.00,3,1,17,"2026-03-21 11:46:46"
S000786,P00317,"02/09/2026 01:50",72,NULL,1,14,Yes,EU-Central,PC,72.00,NULL,1,NULL,"2026-02-09 01:50:00"
S000787,P00318,2025-09-22T22:54:57Z,47,4,3,12,Yes,LATAM,PC,47.00,4,3,12,"2025-09-22 22:54:57"
S000788,P00318,15-08-2025,32,3,1,10,NULL,LATAM,PlayStation,32.00,3,1,10,"2025-08-15 00:00:00"
S000789,P00319,"11/13/2025 16:34",36,3,1,14,No,EU-Central,PC,36.00,3,1,14,"2025-11-13 16:34:00"
S000790,P00319,"11/04/25 08:40",63,4,1,14,NULL,LATAM,PC,63.00,4,1,14,"2025-11-04 08:40:00"
S000791,P00320,"24.03.2026 07:23",29,2,1,15,No,NA-West,PlayStation,29.00,2,1,15,"2026-03-24 07:23:00"
S000792,P00322,2026-02-19T20:20:44Z,30,3,2,18,Yes,LATAM,PC,30.00,3,2,18,"2026-02-19 20:20:44"
S000793,P00322,2026-02-12T01:43:44Z,26,2,1,7,Yes,EU-Central,PlayStation,26.00,2,1,7,"2026-02-12 01:43:44"
S000794,P00322,2026/02/18,60,5,3,24,NULL,APAC,Mobile,60.00,5,3,24,"2026-02-18 00:00:00"
S000795,P00324,2026-03-19T09:04:05Z,64,4,2,16,No,NULL,Mobile,64.00,4,2,16,"2026-03-19 09:04:05"
S000796,P00324,"03/21/2026 19:19",53,3,2,17,No,NA-East,Mobile,53.00,3,2,17,"2026-03-21 19:19:00"
S000797,P00324,"03/01/2026 13:59",52,3,2,10,No,EU-Central,PC,52.00,3,2,10,"2026-03-01 13:59:00"
S000798,P00324,2026-03-14,31,3,1,24,Yes,NULL,PC,31.00,3,1,24,"2026-03-14 00:00:00"
S000799,P00324,2026-03-14,31,3,1,24,Yes,NULL,PC,31.00,3,1,24,"2026-03-14 00:00:00"
S000800,P00324,2026-03-01T08:23:05Z,27,2,,14,No,LATAM,PC,27.00,2,NULL,14,"2026-03-01 08:23:05"
S000801,P00324,2026-03-17T18:00:05Z,6,1,0,6,Yes,NA-West,Xbox,6.00,1,0,6,"2026-03-17 18:00:05"
S000802,P00324,2026-03-14T08:30:05Z,45,3,2,18,Yes,EU-Central,Mobile,45.00,3,2,18,"2026-03-14 08:30:05"
S000803,P00324,2026-03-14T08:30:05Z,45,3,2,18,Yes,EU-Central,Mobile,45.00,3,2,18,"2026-03-14 08:30:05"
S000804,P00326,"10/25/2025 13:37",80,6,3,29,No,LATAM,NULL,80.00,6,3,29,"2025-10-25 13:37:00"
S000805,P00326,"10/06/2025 10:35",31,2,1,9,No,NA-West,PC,31.00,2,1,9,"2025-10-06 10:35:00"
S000806,P00326,11/02/2025,53,3,1,19,No,LATAM,PC,53.00,3,1,19,"2025-11-02 00:00:00"
S000807,P00326,2025.11.03,58,3,1,11,Yes,EU-Central,PlayStation,58.00,3,1,11,"2025-11-03 00:00:00"
S000808,P00326,2025-11-02T19:00:44Z,29,3,1,16,Yes,EU-Central,PlayStation,29.00,3,1,16,"2025-11-02 19:00:44"
S000809,P00326,2025-10-02T23:43:44Z,60,4,2,16,NULL,NA-East,PC,60.00,4,2,16,"2025-10-02 23:43:44"
S000810,P00326,2025-10-15T14:51:44Z,50,4,2,6,NULL,NA-West,NULL,50.00,4,2,6,"2025-10-15 14:51:44"
S000811,P00327,"02/08/2026 15:24",31,2,1,3,No,NULL,Mobile,31.00,2,1,3,"2026-02-08 15:24:00"
S000812,P00327,"01/03/2026 01:37",47,4,2,17,No,NULL,PlayStation,47.00,4,2,17,"2026-01-03 01:37:00"
S000813,P00327,02/06/2026,55,4,2,20,NULL,APAC,PlayStation,55.00,4,2,20,"2026-02-06 00:00:00"
S000814,P00327,"01/23/2026 20:03",31,2,1,8,No,NULL,Mobile,31.00,2,1,8,"2026-01-23 20:03:00"
S000815,P00327,"01/08/2026 10:33",62,6,3,24,Yes,NULL,NULL,62.00,6,3,24,"2026-01-08 10:33:00"
S000816,P00327,"01/08/2026 10:33",62,6,3,24,Yes,NULL,NULL,62.00,6,3,24,"2026-01-08 10:33:00"
S000817,P00327,"01.01.2026 01:10",36,3,1,16,Yes,NULL,PC,36.00,3,1,16,"2026-01-01 01:10:00"
S000818,P00327,2026-01-27T09:13:08Z,10,1,0,5,Yes,NULL,Mobile,10.00,1,0,5,"2026-01-27 09:13:08"
S000819,P00333,2025-12-24T05:50:18Z,37,2,1,9,Yes,APAC,Mobile,37.00,2,1,9,"2025-12-24 05:50:18"
S000820,P00333,2025-12-24T05:50:18Z,37,2,1,9,Yes,APAC,Mobile,37.00,2,1,9,"2025-12-24 05:50:18"
S000821,P00333,2025-11-25T13:01:18Z,46,4,2,10,Yes,LATAM,Xbox,46.00,4,2,10,"2025-11-25 13:01:18"
S000822,P00333,"Dec 25, 2025",38,2,1,,Yes,NULL,PlayStation,38.00,2,1,NULL,"2025-12-25 00:00:00"
S000823,P00333,2025-12-30T05:58:18Z,57,4,3,21,No,EU-Central,Mobile,57.00,4,3,21,"2025-12-30 05:58:18"
S000824,P00333,"11/28/2025 15:22",41,3,1,12,Yes,NULL,PC,41.00,3,1,12,"2025-11-28 15:22:00"
S000825,P00333,"12/25/2025 15:25",33,2,1,8,Yes,NULL,Mobile,33.00,2,1,8,"2025-12-25 15:25:00"
S000826,P00333,2025-11-13T22:07:18Z,47m,3,2,14,Yes,NULL,PC,47.00,3,2,14,"2025-11-13 22:07:18"
S000827,P00335,2026/04/05,28,2,1,7,Yes,LATAM,Xbox,28.00,2,1,7,"2026-04-05 00:00:00"
S000828,P00335,"03/26/2026 03:58",44m,4,2,22,Yes,EU-Central,PC,44.00,4,2,22,"2026-03-26 03:58:00"
S000829,P00335,2026-04-19T01:11:11Z,"55 mins",4,2,21,Yes,NA-West,Mobile,55.00,4,2,21,"2026-04-19 01:11:11"
S000830,P00335,2026-04-11T02:35:11Z,57,3,2,13,No,EU-Central,PC,57.00,3,2,13,"2026-04-11 02:35:11"
S000831,P00335,"04/14/2026 11:06",50,4,1,21,Yes,NULL,Mobile,50.00,4,1,21,"2026-04-14 11:06:00"
S000832,P00339,"09/09/2025 23:48",26,2,1,2,NULL,EU-Central,PC,26.00,2,1,2,"2025-09-09 23:48:00"
S000833,P00339,"2025-10-02 22:24:17",62,6,4,21,No,NA-East,PC,62.00,6,4,21,"2025-10-02 22:24:17"
S000834,P00339,"09/10/2025 20:04",75,6,3,,Yes,NULL,PC,75.00,6,3,NULL,"2025-09-10 20:04:00"
S000835,P00339,2025-10-12T10:32:17Z,26,2,1,4,Yes,NULL,Mobile,26.00,2,1,4,"2025-10-12 10:32:17"
S000836,P00339,2025-10-12T10:32:17Z,26,2,1,4,Yes,NULL,Mobile,26.00,2,1,4,"2025-10-12 10:32:17"
S000837,P00339,09/09/2025,43,3,1,16,No,NA-East,PC,43.00,3,1,16,"2025-09-09 00:00:00"
S000838,P00339,2025-10-28T23:49:17Z,"85 mins",5,3,26,No,NA-East,Mobile,85.00,5,3,26,"2025-10-28 23:49:17"
S000839,NULL,"10/09/25 13:25",101,8,3,38,NULL,LATAM,Mobile,101.00,8,3,38,"2025-10-09 13:25:00"
S000840,P00339,"10/25/2025 16:38",63,6,4,30,No,APAC,Mobile,63.00,6,4,30,"2025-10-25 16:38:00"
S000841,P00341,18-01-2026,30m,NULL,1,9,No,APAC,Mobile,30.00,NULL,1,NULL,"2026-01-18 00:00:00"
S000842,P00341,"02/03/2026 ",23,2,1,8,No,NA-West,PC,23.00,2,1,8,"2026-02-03 00:00:00"
S000843,P00341,"02/12/2026 14:33",30,2,1,7,No,NULL,Mobile,30.00,2,1,7,"2026-02-12 14:33:00"
S000844,P00341,2026-01-23T01:51:35Z,6m,1,0,7,Yes,NA-West,NULL,6.00,1,0,7,"2026-01-23 01:51:35"
S000845,P00341,"Jan 17, 2026 10:24AM",21,2,1,5,No,NULL,PlayStation,21.00,2,1,5,"2026-01-17 10:24:00"
S000846,P00341,"03/04/2026 01:07",15,1,1,5,Yes,NA-East,Mobile,15.00,1,1,5,"2026-03-04 01:07:00"
S000847,P00341,2026-03-05T05:15:35Z,24,2,1,10,NULL,EU-Central,Mobile,24.00,2,1,10,"2026-03-05 05:15:35"
S000848,P00341,"03/02/2026 22:19",62,4,2,19,No,LATAM,PC,62.00,4,2,19,"2026-03-02 22:19:00"
S000849,P00341,"02/07/2026 09:37",16,1,0,0,No,NULL,PC,16.00,1,0,0,"2026-02-07 09:37:00"
S000850,P00342,08/16/2025,51,4,2,18,Yes,NULL,Mobile,51.00,4,2,18,"2025-08-16 00:00:00"
S000851,P00342,08/16/2025,51,4,2,18,Yes,NULL,Mobile,51.00,4,2,18,"2025-08-16 00:00:00"
S000852,P00342,2025-08-16T09:15:47Z,"25 mins",2,1,11,No,EU-Central,Mobile,25.00,2,1,11,"2025-08-16 09:15:47"
S000853,P00342,"08/11/25 19:18",53m,4,2,23,No,NA-East,PC,53.00,4,2,23,"2025-08-11 19:18:00"
S000854,P00342,2025-08-25T05:16:47Z,35,3,1,7,Yes,NA-West,Xbox,35.00,3,1,7,"2025-08-25 05:16:47"
S000855,P00342,2025/08/10,69,6,2,31,Yes,NULL,PC,69.00,6,2,31,"2025-08-10 00:00:00"
S000856,P00342,"08/29/2025 22:54",40,4,2,17,No,NULL,Mobile,40.00,4,2,17,"2025-08-29 22:54:00"
S000857,P00342,"08/10/2025 13:09",26,1,1,,No,EU-Central,Mobile,26.00,1,1,NULL,"2025-08-10 13:09:00"
S000858,P00342,"09/16/2025 04:30","19 mins",1,0,2,No,NULL,PlayStation,19.00,1,0,2,"2025-09-16 04:30:00"
S000859,P00343,"2026-01-23 17:33:24",21,2,1,11,No,NA-West,Mobile,21.00,2,1,11,"2026-01-23 17:33:24"
S000860,P00346,2026-01-04T21:42:56Z,24,1,1,0,Yes,NULL,PC,24.00,1,1,0,"2026-01-04 21:42:56"
S000861,P00346,2025-12-24,61,4,1,24,NULL,LATAM,Xbox,61.00,4,1,24,"2025-12-24 00:00:00"
S000862,P00346,2025-12-24,61,4,1,24,NULL,LATAM,Xbox,61.00,4,1,24,"2025-12-24 00:00:00"
S000863,P00346,2026-01-03T04:32:56Z,54m,3,2,14,No,NA-East,Mobile,54.00,3,2,14,"2026-01-03 04:32:56"
S000864,P00346,2026.02.12,46,3,2,13,No,NULL,Xbox,46.00,3,2,13,"2026-02-12 00:00:00"
S000865,P00346,2026-01-21T00:45:56Z,52,4,1,13,Yes,APAC,Xbox,52.00,4,1,13,"2026-01-21 00:45:56"
S000866,P00346,"01/02/2026 07:41",32,2,1,11,NULL,NULL,PC,32.00,2,1,11,"2026-01-02 07:41:00"
S000867,P00354,"11/18/2025 20:35",45,4,3,15,Yes,NA-East,PC,45.00,4,3,15,"2025-11-18 20:35:00"
S000868,P00354,2025-10-14T23:33:54Z,6,NULL,0,11,Yes,LATAM,PC,6.00,NULL,0,NULL,"2025-10-14 23:33:54"
S000869,P00354,"11/12/2025 15:45",37,2,1,1,No,NULL,PC,37.00,2,1,1,"2025-11-12 15:45:00"
S000870,P00354,2025-11-16T07:27:54Z,35,3,1,16,No,NULL,PC,35.00,3,1,16,"2025-11-16 07:27:54"
S000871,P00354,"10/28/25 21:29",30,2,1,8,Yes,NA-East,PC,30.00,2,1,8,"2025-10-28 21:29:00"
S000872,NULL,2025-11-20T23:59:13Z,61,6,3,28,Yes,LATAM,Xbox,61.00,6,3,28,"2025-11-20 23:59:13"
S000873,P00355,2025-11-20T01:46:13Z,46,4,2,15,NULL,NA-West,PC,46.00,4,2,15,"2025-11-20 01:46:13"
S000874,P00355,"11/03/2025 04:30",40,3,1,9,No,EU-Central,PlayStation,40.00,3,1,9,"2025-11-03 04:30:00"
S000875,P00356,2025-09-27T06:52:02Z,50,4,3,29,Yes,EU-Central,PC,50.00,4,3,29,"2025-09-27 06:52:02"
S000876,P00356,2025-10-03T04:13:02Z,58,5,3,30,No,NULL,Mobile,58.00,5,3,30,"2025-10-03 04:13:02"
S000877,P00356,2025-09-26T17:18:02Z,50,3,2,18,Yes,NA-West,PC,50.00,3,2,18,"2025-09-26 17:18:02"
S000878,P00356,2025-10-08T08:24:02Z,69,5,3,29,NULL,LATAM,PlayStation,69.00,5,3,29,"2025-10-08 08:24:02"
S000879,P00356,2025-09-27T16:50:02Z,56,5,2,21,Yes,APAC,PC,56.00,5,2,21,"2025-09-27 16:50:02"
S000880,P00356,2025-10-11T22:46:02Z,"46 mins",4,2,15,NULL,NULL,PC,46.00,4,2,15,"2025-10-11 22:46:02"
S000881,P00356,2025-11-01T05:00:02Z,38m,3,1,24,No,NA-West,Mobile,38.00,3,1,24,"2025-11-01 05:00:02"
S000882,NULL,2025-09-25T07:44:02Z,33,3,2,7,Yes,NULL,Mobile,33.00,3,2,7,"2025-09-25 07:44:02"
S000883,P00357,2026-03-03T09:12:02Z,33,3,1,9,No,APAC,PC,33.00,3,1,9,"2026-03-03 09:12:02"
S000884,P00357," Mar 05, 2026",32m,2,1,12,NULL,EU-Central,NULL,32.00,2,1,12,"2026-03-05 00:00:00"
S000885,P00357,2026-03-07T04:06:02Z,24,1,1,8,Yes,NA-West,PC,24.00,1,1,8,"2026-03-07 04:06:02"
S000886,P00357,"02/10/2026 05:35",43m,3,2,15,No,NA-West,PC,43.00,3,2,15,"2026-02-10 05:35:00"
S000887,P00357,2026-02-27T21:07:02Z,56,5,3,18,No,EU-Central,Mobile,56.00,5,3,18,"2026-02-27 21:07:02"
S000888,P00357,"02/05/2026 13:39",49,3,2,11,No,LATAM,Mobile,49.00,3,2,11,"2026-02-05 13:39:00"
S000889,P00357,30-01-2026,31,2,1,11,NULL,LATAM,PC,31.00,2,1,11,"2026-01-30 00:00:00"
S000890,P00358,"01/11/2026 03:20",74,5,3,22,No,NA-East,Xbox,74.00,5,3,22,"2026-01-11 03:20:00"
S000891,P00359,"12/15/2025 14:21",37,3,2,11,Yes,NULL,Mobile,37.00,3,2,11,"2025-12-15 14:21:00"
S000892,P00359,2025-12-12T18:54:50Z,43,3,1,9,Yes,NA-East,NULL,43.00,3,1,9,"2025-12-12 18:54:50"
S000893,P00359,2025-12-07T19:08:50Z,49,4,1,16,No,NULL,NULL,49.00,4,1,16,"2025-12-07 19:08:50"
S000894,P00359,2025-12-07T19:08:50Z,49,4,1,16,No,NULL,NULL,49.00,4,1,16,"2025-12-07 19:08:50"
S000895,P00359,"12/03/2025 21:03",46,3,2,14,No,NA-East,PlayStation,46.00,3,2,14,"2025-12-03 21:03:00"
S000896,P00359,"11/23/2025 15:00",67,6,3,23,No,NULL,PC,67.00,6,3,23,"2025-11-23 15:00:00"
S000897,P00359,2025-11-05,53,4,1,16,No,NULL,PC,53.00,4,1,16,"2025-11-05 00:00:00"
S000898,P00359,2025-12-02T04:07:50Z,48,3,2,10,Yes,EU-Central,PC,48.00,3,2,10,"2025-12-02 04:07:50"
S000899,P00359,"11/13/2025 02:58",25,2,1,7,Yes,NA-East,PC,25.00,2,1,7,"2025-11-13 02:58:00"
S000900,P00359,"2025-11-30 17:03:50",17,1,0,2,Yes,EU-Central,Mobile,17.00,1,0,2,"2025-11-30 17:03:50"
S000901,P00359,2025-11-14T15:08:50Z,58,3,2,12,Yes,LATAM,PC,58.00,3,2,12,"2025-11-14 15:08:50"
S000902,P00359,"11/17/2025 00:30",48,3,2,16,Yes,NULL,PC,48.00,3,2,16,"2025-11-17 00:30:00"
S000903,P00360,21-02-2026,53,4,2,20,No,NULL,PC,53.00,4,2,20,"2026-02-21 00:00:00"
S000904,P00361,2026-03-15T19:32:01Z,10,1,0,0,No,NA-West,PC,10.00,1,0,0,"2026-03-15 19:32:01"
S000905,P00361,"03/19/2026 01:58",41,2,1,7,No,LATAM,PC,41.00,2,1,7,"2026-03-19 01:58:00"
S000906,P00361,"Apr 08, 2026 10:45PM",28,2,1,18,No,NULL,NULL,28.00,2,1,18,"2026-04-08 22:45:00"
S000907,P00361,2026-04-08T00:26:01Z,24,2,1,4,Yes,EU-Central,PC,24.00,2,1,4,"2026-04-08 00:26:01"
S000908,P00361,"04/11/2026 05:22",12,1,1,3,No,EU-Central,PC,12.00,1,1,3,"2026-04-11 05:22:00"
S000909,P00361,"04/10/2026 18:29",28,3,,16,No,EU-Central,PC,28.00,3,NULL,16,"2026-04-10 18:29:00"
S000910,P00361,"03/23/2026 00:53","7 mins",1,1,0,Yes,NA-West,PlayStation,7.00,1,1,0,"2026-03-23 00:53:00"
S000911,P00365,"2026-01-14 21:00:08",22,2,1,11,No,NA-East,Mobile,22.00,2,1,11,"2026-01-14 21:00:08"
S000912,P00365,"01/30/2026 23:33",51,3,2,7,Yes,NULL,PC,51.00,3,2,7,"2026-01-30 23:33:00"
S000913,P00368,"09/26/2025 02:37",18,1,1,5,No,NA-East,Xbox,18.00,1,1,5,"2025-09-26 02:37:00"
S000914,P00368,2025/10/04,19,1,1,10,Yes,NA-East,PC,19.00,1,1,10,"2025-10-04 00:00:00"
S000915,P00368," 2025/10/18",29,2,1,9,No,NULL,PlayStation,29.00,2,1,9,"2025-10-18 00:00:00"
S000916,P00368,2025-09-22T16:55:21Z,20,NULL,0,4,No,APAC,PC,20.00,NULL,0,NULL,"2025-09-22 16:55:21"
S000917,P00368,2025-10-05T21:00:21Z,"27 mins",2,,9,Yes,NULL,PC,27.00,2,NULL,9,"2025-10-05 21:00:21"
S000918,P00368,2025-09-29T18:37:21Z,32m,2,1,16,NULL,NA-West,NULL,32.00,2,1,16,"2025-09-29 18:37:21"
S000919,P00370,"01/29/2026 13:44",26,2,,12,No,LATAM,Mobile,26.00,2,NULL,12,"2026-01-29 13:44:00"
S000920,P00371,"10/15/2025 22:27",56,3,1,9,Yes,NULL,PC,56.00,3,1,9,"2025-10-15 22:27:00"
S000921,P00378,12/14/2025,72,5,3,21,Yes,LATAM,PC,72.00,5,3,21,"2025-12-14 00:00:00"
S000922,P00378,"24.12.2025 08:51",51m,3,2,8,No,NA-West,PC,51.00,3,2,8,"2025-12-24 08:51:00"
S000923,P00378,2025-12-01T22:47:34Z,28,2,1,9,No,APAC,PC,28.00,2,1,9,"2025-12-01 22:47:34"
S000924,P00378,"Nov 27, 2025",46,4,2,21,No,NULL,PC,46.00,4,2,21,"2025-11-27 00:00:00"
S000925,P00380,"17.03.2026 06:47",61,4,2,16,Yes,APAC,Mobile,61.00,4,2,16,"2026-03-17 06:47:00"
S000926,P00380,2026-03-01T00:15:46Z,49,4,,18,NULL,EU-Central,Xbox,49.00,4,NULL,18,"2026-03-01 00:15:46"
S000927,P00380,"03/14/26 17:46",49,3,,12,No,NULL,PlayStation,49.00,3,NULL,12,"2026-03-14 17:46:00"
S000928,P00380,2026.02.21,71,4,2,13,Yes,APAC,Mobile,71.00,4,2,13,"2026-02-21 00:00:00"
S000929,P00380,"02/16/2026 17:24",52,3,2,14,Yes,NA-West,PC,52.00,3,2,14,"2026-02-16 17:24:00"
S000930,P00380,2026-02-09T01:17:46Z,32,3,1,15,NULL,APAC,Xbox,32.00,3,1,15,"2026-02-09 01:17:46"
S000931,P00380,2026-03-23T03:51:46Z,27,2,1,3,No,NA-West,PlayStation,27.00,2,1,3,"2026-03-23 03:51:46"
S000932,P00380,2026-03-18T02:38:46Z,53,4,2,22,Yes,NULL,PC,53.00,4,2,22,"2026-03-18 02:38:46"
S000933,P00383,2025-10-24T04:42:17Z,35m,2,1,10,No,LATAM,PC,35.00,2,1,10,"2025-10-24 04:42:17"
S000934,P00383,"10/08/2025 12:17",38,2,1,12,No,APAC,Xbox,38.00,2,1,12,"2025-10-08 12:17:00"
S000935,P00383,2025-10-18T06:34:17Z,42,4,3,22,Yes,APAC,PlayStation,42.00,4,3,22,"2025-10-18 06:34:17"
S000936,P00383,"10/04/2025 19:21",28,2,1,0,Yes,NULL,PC,28.00,2,1,0,"2025-10-04 19:21:00"
S000937,NULL,2025-10-09T13:13:17Z,58,4,,19,Yes,EU-Central,Mobile,58.00,4,NULL,19,"2025-10-09 13:13:17"
S000938,P00383,"09/28/2025 12:25",75,5,2,27,No,NA-West,NULL,75.00,5,2,27,"2025-09-28 12:25:00"
S000939,P00383,2025-10-05T13:32:17Z,19,1,0,1,No,EU-Central,PC,19.00,1,0,1,"2025-10-05 13:32:17"
S000940,P00383,"09/30/2025 22:14",37,3,2,14,No,NA-West,PlayStation,37.00,3,2,14,"2025-09-30 22:14:00"
S000941,P00383,"09/26/2025 13:33",38,4,2,12,No,NULL,PC,38.00,4,2,12,"2025-09-26 13:33:00"
S000942,P00384,"10/26/2025 18:40",60,4,2,17,No,NULL,PC,60.00,4,2,17,"2025-10-26 18:40:00"
S000943,P00384,2025-09-09T09:55:23Z,"32 mins",3,,7,No,NA-East,Mobile,32.00,3,NULL,7,"2025-09-09 09:55:23"
S000944,P00384,"09/26/2025 11:59",51,3,2,13,No,APAC,PC,51.00,3,2,13,"2025-09-26 11:59:00"
S000945,P00384,2025-10-12T02:50:23Z,55,3,1,12,No,EU-Central,PC,55.00,3,1,12,"2025-10-12 02:50:23"
S000946,P00384,2025-09-17T17:40:23Z,39,3,2,12,NULL,NULL,PC,39.00,3,2,12,"2025-09-17 17:40:23"
S000947,P00384,"09/22/2025 13:15",43,3,1,8,No,NULL,PC,43.00,3,1,8,"2025-09-22 13:15:00"
S000948,P00384,"09/16/2025 09:32",34,2,1,8,Yes,NULL,Xbox,34.00,2,1,8,"2025-09-16 09:32:00"
S000949,NULL,2025-10-18T16:52:13Z,18,2,1,6,Yes,NA-West,Mobile,18.00,2,1,6,"2025-10-18 16:52:13"
S000950,P00386,2025-11-21T13:46:13Z,39,4,2,9,NULL,NA-West,PC,39.00,4,2,9,"2025-11-21 13:46:13"
S000951,P00386,2025-11-24T20:48:13Z,18,1,0,0,Yes,NA-West,Mobile,18.00,1,0,0,"2025-11-24 20:48:13"
S000952,P00386,"12/01/2025 06:06",41m,2,1,7,Yes,EU-Central,Mobile,41.00,2,1,7,"2025-12-01 06:06:00"
S000953,P00386,"Nov 11, 2025",28,2,1,10,No,EU-Central,Mobile,28.00,2,1,10,"2025-11-11 00:00:00"
S000954,P00386,10/19/2025,61,4,2,15,Yes,NULL,PC,61.00,4,2,15,"2025-10-19 00:00:00"
S000955,P00387,"02/03/2026 17:51",26,2,1,11,No,EU-Central,PC,26.00,2,1,11,"2026-02-03 17:51:00"
S000956,P00387,"01/24/2026 09:14",20,2,1,11,No,EU-Central,Mobile,20.00,2,1,11,"2026-01-24 09:14:00"
S000957,P00387,"02/12/2026 17:01",20,2,1,6,NULL,NA-West,Mobile,20.00,2,1,6,"2026-02-12 17:01:00"
S000958,P00387,"01/31/2026 06:30",64,5,2,19,Yes,NA-East,PC,64.00,5,2,19,"2026-01-31 06:30:00"
S000959,P00387,"02/28/2026 21:13",35,3,1,20,No,NULL,PC,35.00,3,1,20,"2026-02-28 21:13:00"
S000960,P00387,03/13/2026,50m,3,1,16,NULL,NA-West,Mobile,50.00,3,1,16,"2026-03-13 00:00:00"
S000961,P00387,"03/14/2026 20:02",44m,3,1,8,Yes,NA-East,PC,44.00,3,1,8,"2026-03-14 20:02:00"
S000962,P00387,02/10/2026,74,6,4,27,Yes,NA-East,Mobile,74.00,6,4,27,"2026-02-10 00:00:00"
S000963,P00387,02/10/2026,74,6,4,27,Yes,NA-East,Mobile,74.00,6,4,27,"2026-02-10 00:00:00"
S000964,P00387,"02/09/2026 02:13",60,6,2,28,NULL,EU-Central,PC,60.00,6,2,28,"2026-02-09 02:13:00"
S000965,P00387,"03/09/2026 18:16",74,5,2,21,No,NA-West,NULL,74.00,5,2,21,"2026-03-09 18:16:00"
S000966,P00390,01/10/2026,41,3,2,17,Yes,EU-Central,Mobile,41.00,3,2,17,"2026-01-10 00:00:00"
S000967,P00390,"2025-12-18 11:39:44",47,4,3,21,No,EU-Central,PC,47.00,4,3,21,"2025-12-18 11:39:44"
S000968,P00391,"11/29/25 03:07",43,3,1,15,NULL,LATAM,Mobile,43.00,3,1,15,"2025-11-29 03:07:00"
S000969,P00391,2025-12-01T19:51:37Z,68,5,3,21,Yes,NA-West,Mobile,68.00,5,3,21,"2025-12-01 19:51:37"
S000970,P00391,2025-12-03T17:17:37Z,"41 mins",3,2,15,Yes,EU-Central,PC,41.00,3,2,15,"2025-12-03 17:17:37"
S000971,P00391,"2025-10-25 16:06:37",49,3,2,11,Yes,NULL,NULL,49.00,3,2,11,"2025-10-25 16:06:37"
S000972,P00401,2026-04-15T06:07:21Z,6,1,0,4,Yes,LATAM,Mobile,6.00,1,0,4,"2026-04-15 06:07:21"
S000973,P00401,2026-03-28T02:04:21Z,20,2,1,6,No,NA-East,Mobile,20.00,2,1,6,"2026-03-28 02:04:21"
S000974,P00403,"Sep 27, 2025",56,4,2,20,No,NA-East,PlayStation,56.00,4,2,20,"2025-09-27 00:00:00"
S000975,P00404,2026.03.16,6,1,1,0,Yes,EU-Central,PC,6.00,1,1,0,"2026-03-16 00:00:00"
S000976,P00404,2026-03-08,45,4,3,22,No,LATAM,PC,45.00,4,3,22,"2026-03-08 00:00:00"
S000977,P00404,2026-03-09T09:28:16Z,28,3,1,13,No,LATAM,Mobile,28.00,3,1,13,"2026-03-09 09:28:16"
S000978,P00404,"03/27/2026 00:58",11,1,,2,No,APAC,Xbox,11.00,1,NULL,2,"2026-03-27 00:58:00"
S000979,P00404,"03/18/2026 21:47",44,4,1,22,Yes,NA-West,Mobile,44.00,4,1,22,"2026-03-18 21:47:00"
S000980,P00404,2026-04-01T10:32:16Z,42,2,1,4,No,EU-Central,NULL,42.00,2,1,4,"2026-04-01 10:32:16"
S000981,P00404,"Mar 31, 2026",24,1,1,2,Yes,NULL,Mobile,24.00,1,1,2,"2026-03-31 00:00:00"
S000982,P00409,"01/25/2026 03:24",42,3,1,21,NULL,NA-West,Xbox,42.00,3,1,21,"2026-01-25 03:24:00"
S000983,P00409,"12/31/2025 07:23","48 mins",3,2,12,No,APAC,Xbox,48.00,3,2,12,"2025-12-31 07:23:00"
S000984,P00411,2026-01-30T04:16:14Z,51,4,2,16,No,NULL,PC,51.00,4,2,16,"2026-01-30 04:16:14"
S000985,P00411,2026-01-24T18:57:14Z,29,3,2,16,No,NULL,PC,29.00,3,2,16,"2026-01-24 18:57:14"
S000986,P00411,2025-12-18T04:23:14Z,37,NULL,1,18,No,NA-West,PlayStation,37.00,NULL,1,NULL,"2025-12-18 04:23:14"
S000987,P00412,"21.01.2026 00:20",65,4,2,19,Yes,LATAM,PC,65.00,4,2,19,"2026-01-21 00:20:00"
S000988,P00412,"02/14/2026 16:39",40,2,1,11,NULL,NULL,PC,40.00,2,1,11,"2026-02-14 16:39:00"
S000989,P00412,2026-01-28T19:11:46Z,39,3,1,15,Yes,NULL,PC,39.00,3,1,15,"2026-01-28 19:11:46"
S000990,P00413,2025-12-08T07:36:47Z,61,6,2,28,No,APAC,PC,61.00,6,2,28,"2025-12-08 07:36:47"
S000991,P00416,"03/10/2026 15:16",64,4,2,22,Yes,NULL,NULL,64.00,4,2,22,"2026-03-10 15:16:00"
